figure,panel,source,sha256,fields,unit,filters,notes
3,"a,b,d",reports/studies/RQ021_contemporaneous_envelope/RQ021_1_contemporaneous_envelope_20260805T160425Z_43b4bff/key_numbers.json,a40be0fec9665c35a48cb2e5566c5bc89e8c41bb8323081944e0905678bf3498,human_only_envelope.metrics; circularity_diagnostics.marginal_envelopes.ipv_log.metrics; D2_contemporaneous_test_r2,accepted or readable test moments,"pure-human test-fold; a,b supported and readable; d all readable",Accepted RQ021 outputs; distinct denominators preserved
3,c,.codex-fleet/paper-figure-upgrade/work/S1_scoring/fig1_three_layer_data.json,f593157423f7af1d9a714e7b133e311623c7ad785f41c51ba88539eef7e2a910,funnel,candidate test moments,pure-human test-fold universe,Support abstention denominator is readable moments
ED3,a,reports/studies/RQ004_ipv_state_space/RQ004_1_state_space_law_nature_20260618/02_process/agent_I_figures/F7_lodo_summary_source_data.csv,7597c629070d8fa5d4d15c971e0ccd67a03066be3bdc893c7023bed0b0302d37,outcome_spec; full_state_space_r2; test_n,independent cases,outcome_spec=case_mean_ipv,"Episode-summary prediction, separate from reference coverage"
ED3,b,reports/studies/RQ021_contemporaneous_envelope/RQ021_2_lodo_transfer_20260807T114305Z_0c4d280/key_numbers_e2.json,2b94b00d557344c909a837811f32919d277d6faddd7932682828909fd2db86df,lodo.<source>.metrics.90,moments,all four held-out sources; 90% level,Coverage denominator accepted; support abstention denominator readable
1,a,reports/knowledge/PAPER001_online_sociality_verification_manuscript/figure_revision_20260925/process/input_plan.md,fd6ef25e4565cb01dfd076c14bdf4017e21f30450b84d0685c4817ac206a44d7,Section 3: monitor logic,conceptual,schematic; no measured quantities,
1,"b,c",.codex-fleet/paper-figure-upgrade/work/S1_scoring/all_candidates_scored.parquet,ae72b0cb7ad6e03452128601c6275d8790aee5ca8c04efe01d81aee634e1dd09,coordinates; elapsed_time_s; ipv_log; lo_90; hi_90; both_gates_ok; exceed_side_90,frames,case_key=ipv_004992; perspective=key_agent_1,221 source rows; timeline 11.0–22.7 s; trajectories from 13.2 s
S4,a–c,.codex-fleet/paper-figure-upgrade/work/S1_scoring/fig1_three_layer_data.json,f593157423f7af1d9a714e7b133e311623c7ad785f41c51ba88539eef7e2a910,grid; exemplar_readable; exemplar_abstain,candidate weights,frozen two-frame examples,No resampling or fitted uncertainty
ED5,a,.codex-fleet/paper-figure-upgrade/work/S1_scoring/fig1_three_layer_data.json,f593157423f7af1d9a714e7b133e311623c7ad785f41c51ba88539eef7e2a910,human_bins; human_hist; human_n,readable human moments,human test fold,486660 moments
ED5,b,.codex-fleet/paper-figure-upgrade/work/S1_scoring/fig1_three_layer_data.json,f593157423f7af1d9a714e7b133e311623c7ad785f41c51ba88539eef7e2a910,deployed_ranges,context summaries,CP|priority; MP|priority; MP|equal,Lower and upper medians computed separately; not one observed interval
ED5,b,.codex-fleet/rq021-contemporaneous-envelope/work/E1/onsite_scoring_dryrun.parquet,4c52b911128f8b804ffd64a9cf9f26590c4bdc83bfb11d2081b1f4bd6c317165,context_cell; lo_90; hi_90; width_90,all deployment candidate moments,same three context cells,Confirms all frozen counts and bound medians
