run_id,driver_id,scenario_id,frame,timestamp_ms,time_s,ego_speed_kmh,step_m,speed_from_step_kmh,speed_diff_kmh,accel_mps2,jerk_mps3,yaw_deg,yaw_rate_deg_s,cross_track_m
human_synthetic:D02:A3,D02,A3,0,1766197830125,0.0,29.95332649979137,,,,,,30.750000000000004,,0.0
human_synthetic:D02:A3,D02,A3,1,1766197830228,0.103,29.94408837140779,1.000285566457126,34.961437274229645,5.017348902821855,-0.02491404634189951,,31.540564422679612,7.675382744462219,0.0
human_synthetic:D02:A3,D02,A3,2,1766197830330,0.205,29.888609246397202,0.8322295912334312,29.3728091023564,-0.5158001440408029,-0.15108694174997284,-1.2369891706673857,32.21670682661846,6.628847097439749,0.0
human_synthetic:D02:A3,D02,A3,3,1766197830433,0.308,29.796101852609088,0.8316015752936103,29.065686126766966,-0.7304157258421213,-0.24948056577161015,-0.9552779031226925,32.88060385090268,6.445602177516609,0.0
human_synthetic:D02:A3,D02,A3,4,1766197830537,0.412,29.66665399650551,0.8261835958702367,28.598662933969734,-1.067991062535775,-0.3457474789091334,-0.9256433955531079,33.510346760919205,6.055220288620361,0.0
human_synthetic:D02:A3,D02,A3,5,1766197830639,0.514,29.463525255274014,0.823848094987293,29.07699158778681,-0.3865336674872033,-0.5531828464910021,-2.0336800743320467,34.09054133751631,5.688182123501063,0.0
human_synthetic:D02:A3,D02,A3,6,1766197830741,0.616,29.039654265202827,0.8145409182470208,28.74850299695368,-0.2911512682491484,-1.1543327616317782,-5.893626619027217,34.63807764663248,5.368003030550669,0.0
human_synthetic:D02:A3,D02,A3,7,1766197830843,0.718,28.35870926305475,0.7993524664467493,28.212439992238213,-0.14626927081653562,-1.8544253871135,-6.863653190997272,35.14056169489861,4.926314198687511,0.0
human_synthetic:D02:A3,D02,A3,8,1766197830944,0.819,27.531489971399587,0.777484527769131,27.712319801671995,0.1808298302724083,-2.2750805601076984,-4.1649027029128565,35.58994117970487,4.449301829764928,0.0
human_synthetic:D02:A3,D02,A3,9,1766197831047,0.922,26.484842563903047,0.9008668080190312,31.48660688221857,5.001764318315523,-2.82267369875011,-5.316438239246716,36.115388400097814,5.10142932420338,0.0
