anomaly_type,run_id,driver_id,scenario_id,n_frames,step_max_m,accel_max_abs_mps2,jerk_max_abs_mps3,yaw_rate_max_abs_deg_s,speed_recon_max_abs_kmh,cross_track_max_m
dt_outside_0.09_0.11,human_synthetic:D01:A1,D01,A1,245,0.7528352211733342,2.0220055174752143,9.795660125006027,6.0500417845736525,2.8732964968792594,0.0
dt_outside_0.09_0.11,human_synthetic:D01:A2,D01,A2,137,1.0365545866251282,2.5103156515049125,14.68291328856933,14.472242750893006,5.203722078839416,0.0
dt_outside_0.09_0.11,human_synthetic:D01:A3,D01,A3,419,0.995440941085772,3.5809452834030675,20.863923608976485,32.573045363231806,4.988643568441901,0.0
dt_outside_0.09_0.11,human_synthetic:D01:A4,D01,A4,304,0.8490351292024743,2.3967064883968847,29.280047530910775,21.69993651892916,5.752158434437089,0.0
dt_outside_0.09_0.11,human_synthetic:D01:A5,D01,A5,560,0.8296134326426206,3.596880761616139,16.29074871321944,14.870926308760751,4.109704693952693,0.0
dt_outside_0.09_0.11,human_synthetic:D01:A6,D01,A6,131,0.7148158124830398,3.5748653089083082,20.352839920537956,25.02910826468331,2.867633529378651,0.0
dt_outside_0.09_0.11,human_synthetic:D01:A7,D01,A7,246,0.8881212481153521,2.4186793174831682,9.78660299474486,12.657786004800052,5.324953931613049,0.0
dt_outside_0.09_0.11,human_synthetic:D01:B1,D01,B1,110,1.0009730146482052,0.5834888379362855,2.8123899370282195,7.387101803376121,4.554698574993537,0.0
dt_outside_0.09_0.11,human_synthetic:D01:B2,D01,B2,210,1.0239425063595111,3.5647301442400487,11.1448474691167,7.084941399549615,5.624691082082027,0.0
dt_outside_0.09_0.11,human_synthetic:D01:B3,D01,B3,182,0.595427258233207,3.832359485527056,17.97380445196026,4.3993877528429115,4.363284513248569,0.0
dt_outside_0.09_0.11,human_synthetic:D01:B4,D01,B4,293,0.9468069696077959,2.1246692502565336,6.772791036563506,19.544309918877023,4.452457563931276,0.0
dt_outside_0.09_0.11,human_synthetic:D01:C1,D01,C1,313,1.029596623375514,3.3552700156615898,15.624446236077436,28.57658633363645,5.117609523847772,0.0
dt_outside_0.09_0.11,human_synthetic:D01:C2,D01,C2,253,0.8258051468519819,3.333261705196705,16.824825990165014,21.30977828557116,4.148255764709258,0.0
dt_outside_0.09_0.11,human_synthetic:D01:C3,D01,C3,373,0.59014664344666,3.2053718276507777,16.71519928237258,22.224112028675023,2.549058687793277,0.0
dt_outside_0.09_0.11,human_synthetic:D02:A1,D02,A1,245,0.7868103386915887,1.802861270452961,9.576082467588447,6.330192300318924,2.9536188265159957,0.0
dt_outside_0.09_0.11,human_synthetic:D02:A2,D02,A2,137,1.0181903659604485,2.6469988549631585,15.213526614788139,14.188764904331325,5.316223855887241,0.0
dt_outside_0.09_0.11,human_synthetic:D02:A3,D02,A3,419,1.000285566457126,3.657750432554522,20.78960726984056,32.85326681683707,5.017348902821855,0.0
dt_outside_0.09_0.11,human_synthetic:D02:A4,D02,A4,304,0.8530666204653402,2.417304510238718,29.700608964446996,21.95181030167209,5.8094209686852665,0.0
dt_outside_0.09_0.11,human_synthetic:D02:A5,D02,A5,560,0.7930282407109196,3.4170431690945757,15.47310559753234,14.312600425291336,3.94346055580489,0.0
dt_outside_0.09_0.11,human_synthetic:D02:A6,D02,A6,131,0.7105299732131506,3.68635581389172,21.14545562741863,19.80460825528111,2.743698021242242,0.0
dt_outside_0.09_0.11,human_synthetic:D02:A7,D02,A7,246,0.8328435552879284,2.506377901273251,10.87012492991993,13.001735897717026,5.149483677220353,0.0
dt_outside_0.09_0.11,human_synthetic:D02:B1,D02,B1,110,0.9981682171242596,0.6941227158321933,2.5459493728466365,7.696197384348944,4.620766323388523,0.0
dt_outside_0.09_0.11,human_synthetic:D02:B2,D02,B2,210,1.0081904861235818,3.7423514362509542,11.925455519747668,6.945845375200644,5.2421652652230115,0.0
dt_outside_0.09_0.11,human_synthetic:D02:B3,D02,B3,182,0.6218070748207908,3.599816994395789,16.78510494923899,4.642305559885529,4.259096380686563,0.0
dt_outside_0.09_0.11,human_synthetic:D02:B4,D02,B4,293,0.8737087655726107,2.25442057988856,7.20860523523304,19.88542752043805,4.146409655216882,0.0
dt_outside_0.09_0.11,human_synthetic:D02:C1,D02,C1,313,1.0034222135719175,3.2960175298491414,15.058493908574343,28.359092771164338,4.998066149603748,0.0
dt_outside_0.09_0.11,human_synthetic:D02:C2,D02,C2,253,0.8610329320452279,3.531852238228568,17.518202176058555,20.226544115514365,3.9466029656739714,0.0
dt_outside_0.09_0.11,human_synthetic:D02:C3,D02,C3,373,0.5778547102164149,3.2609970156619776,17.13764851699512,21.41535982034311,2.5079737187635445,0.0
dt_outside_0.09_0.11,human_synthetic:D03:A1,D03,A1,245,0.7351353055972417,1.9982504449641132,9.275743128592206,5.9077992002271795,2.8686537139610557,0.0
dt_outside_0.09_0.11,human_synthetic:D03:A2,D03,A2,137,0.9794035240795096,2.4805488073515867,14.581871067235824,15.263184187575074,5.130826036590083,0.0
dt_outside_0.09_0.11,human_synthetic:D03:A3,D03,A3,419,0.9649886366567398,3.543357671832411,20.1861214055693,33.00324888671995,4.83861795186202,0.0
dt_outside_0.09_0.11,human_synthetic:D03:A4,D03,A4,304,0.8298727069826095,2.4010038766700776,30.590178290159184,21.854124499970627,5.619398763522799,0.0
dt_outside_0.09_0.11,human_synthetic:D03:A5,D03,A5,560,0.7979880793932232,3.4809794407032477,15.776836735501387,14.359160648803417,3.957902626126291,0.0
dt_outside_0.09_0.11,human_synthetic:D03:A6,D03,A6,131,0.6949157174729211,3.542609263580711,20.38715463295138,20.340304478570456,2.7378222896048072,0.0
dt_outside_0.09_0.11,human_synthetic:D03:A7,D03,A7,246,0.8426529312381714,2.365818328048647,10.269949765159243,12.951587265275153,5.206343790582501,0.0
dt_outside_0.09_0.11,human_synthetic:D03:B1,D03,B1,110,1.0219144230927852,0.589631921150853,2.613656279195649,7.093394493728687,4.6848486869715416,0.0
dt_outside_0.09_0.11,human_synthetic:D03:B2,D03,B2,210,1.0254062903688985,3.5858446577160636,12.16844805810394,6.824687747306208,5.238484202181844,0.0
dt_outside_0.09_0.11,human_synthetic:D03:B3,D03,B3,182,0.612027227384848,3.8613484384019228,18.285561503645795,4.580049933249945,4.26135495462065,0.0
dt_outside_0.09_0.11,human_synthetic:D03:B4,D03,B4,293,0.8745290750625571,2.3027721146052285,7.261291444595996,20.539495809414024,4.095928990478676,0.0
dt_outside_0.09_0.11,human_synthetic:D03:C1,D03,C1,313,0.9579598918672328,3.2934420019006803,14.586745572151397,27.845133301822344,4.762561597292095,0.0
dt_outside_0.09_0.11,human_synthetic:D03:C2,D03,C2,253,0.8305653449921546,3.3625357495273462,16.95087361824636,21.133995841426195,4.034788397373944,0.0
dt_outside_0.09_0.11,human_synthetic:D03:C3,D03,C3,373,0.5939309112784035,3.2834626030158995,17.115964342059677,21.81763284842097,2.574460149017094,0.0
dt_outside_0.09_0.11,human_synthetic:D04:A1,D04,A1,245,0.7883431034908849,1.8264481110330693,9.751411389177992,6.343076061272904,2.9574230873118736,0.0
dt_outside_0.09_0.11,human_synthetic:D04:A2,D04,A2,137,1.0418550211041495,2.599749087290154,15.0841711810843,14.99082459712629,5.319763803488364,0.0
dt_outside_0.09_0.11,human_synthetic:D04:A3,D04,A3,419,0.9570317452913353,3.841225284088712,20.42102624178062,31.437288559652536,4.809043434118614,0.0
dt_outside_0.09_0.11,human_synthetic:D04:A4,D04,A4,304,0.8180761740269705,2.5090725329296877,31.15174876831434,22.707269903857796,5.571663755898925,0.0
dt_outside_0.09_0.11,human_synthetic:D04:A5,D04,A5,560,0.807503473498193,3.46220919064233,15.669745421418892,14.55958009870389,4.015092656632948,0.0
dt_outside_0.09_0.11,human_synthetic:D04:A6,D04,A6,131,0.7445805264499091,3.7878310040800702,21.240743137701315,20.967064875870438,2.8470804939200036,0.0
dt_outside_0.09_0.11,human_synthetic:D04:A7,D04,A7,246,0.8691379337657934,2.433593700844928,10.64128348108102,11.788236986698005,5.101219628365424,0.0
dt_outside_0.09_0.11,human_synthetic:D04:B1,D04,B1,110,1.029436341812308,0.5942691885878353,2.5719331862650088,7.467051337826001,4.718982054432146,0.0
dt_outside_0.09_0.11,human_synthetic:D04:B2,D04,B2,210,1.0307541306096017,3.614510944004836,11.87642096001103,7.2487388844487155,5.472424925859798,0.0
dt_outside_0.09_0.11,human_synthetic:D04:B3,D04,B3,182,0.6287891730384627,3.5758663819157093,16.657109455008705,4.722508846299434,4.249475678317859,0.0
dt_outside_0.09_0.11,human_synthetic:D04:B4,D04,B4,293,0.8984525849754862,2.3101943857996394,7.3790168728518415,19.09019292521472,4.230105072936659,0.0
dt_outside_0.09_0.11,human_synthetic:D04:C1,D04,C1,313,1.0149632097507302,3.241044115035014,15.451533044239055,28.475413193303492,5.0439590178584055,0.0
dt_outside_0.09_0.11,human_synthetic:D04:C2,D04,C2,253,0.8274231501859834,3.286815293716416,16.907666637012724,20.76768823347718,4.008223725058389,0.0
dt_outside_0.09_0.11,human_synthetic:D04:C3,D04,C3,373,0.577718061363554,3.261837240935557,17.129799557082404,21.33024831378218,2.5073895013124528,0.0
dt_outside_0.09_0.11,human_synthetic:D05:A1,D05,A1,245,0.7413548093644242,1.9945606758082257,9.411014343703622,5.957781269877738,2.901078791215463,0.0
dt_outside_0.09_0.11,human_synthetic:D05:A2,D05,A2,137,1.0265157651675119,2.4846319741643765,14.641290117002383,14.915634326148538,5.194015739508231,0.0
dt_outside_0.09_0.11,human_synthetic:D05:A3,D05,A3,419,1.0055048577759793,3.6076218618906313,21.251510359291768,32.546591017483905,5.04918600717394,0.0
dt_outside_0.09_0.11,human_synthetic:D05:A4,D05,A4,304,0.8473808263824972,2.4520748886397588,28.594822912748064,22.224181354231213,5.749828002764332,0.0
dt_outside_0.09_0.11,human_synthetic:D05:A5,D05,A5,560,0.8147407875926969,3.535432086179471,16.0179916041623,14.653260290379691,4.043563253695709,0.0
dt_outside_0.09_0.11,human_synthetic:D05:A6,D05,A6,131,0.7174262395637871,3.6763806925069566,20.808801162596083,21.750584163851745,2.8176343117567377,0.0
dt_outside_0.09_0.11,human_synthetic:D05:A7,D05,A7,246,0.868808644382148,2.407270786140543,10.355451263284284,12.23335937380138,5.216858737905415,0.0
dt_outside_0.09_0.11,human_synthetic:D05:B1,D05,B1,110,1.0533536470189409,0.5288324019721596,2.6170363752904326,7.088669839107754,4.821338834402404,0.0
dt_outside_0.09_0.11,human_synthetic:D05:B2,D05,B2,210,1.0353763660291881,3.5360452350862404,12.269369427379313,7.113562219787658,5.306247416073447,0.0
dt_outside_0.09_0.11,human_synthetic:D05:B3,D05,B3,182,0.6542002245818561,3.7021229392168724,17.374818564200467,4.7987491492114245,4.136260233534623,0.0
dt_outside_0.09_0.11,human_synthetic:D05:B4,D05,B4,293,0.8946564392800037,2.3031783394104552,7.344512256544676,19.115578070303894,4.224020402110941,0.0
dt_outside_0.09_0.11,human_synthetic:D05:C1,D05,C1,313,1.028636516380128,3.2513987281023016,15.462934386383065,29.03599685620072,5.1233543556483845,0.0
dt_outside_0.09_0.11,human_synthetic:D05:C2,D05,C2,253,0.8085407594165144,3.303875293257803,16.414762475213678,21.43012596267232,4.148984815860992,0.0
dt_outside_0.09_0.11,human_synthetic:D05:C3,D05,C3,373,0.5815491634349025,3.304718280025371,17.368742353426,20.399843080530104,2.524795010341675,0.0
dt_outside_0.09_0.11,human_synthetic:D06:A1,D06,A1,245,0.7285178517597254,1.9543621855508013,9.581985183570396,5.85461907556324,2.820100808014427,0.0
dt_outside_0.09_0.11,human_synthetic:D06:A2,D06,A2,137,0.9615783776285478,2.230518398330693,14.01367210546027,15.612445551859823,5.018770639993697,0.0
dt_outside_0.09_0.11,human_synthetic:D06:A3,D06,A3,419,0.9767622042571167,3.801844898533431,21.004263063521233,31.651724929390554,4.91939690397918,0.0
dt_outside_0.09_0.11,human_synthetic:D06:A4,D06,A4,304,0.8594040388243784,2.364619708178567,29.85857103785384,21.527686669313006,5.8367988128648705,0.0
dt_outside_0.09_0.11,human_synthetic:D06:A5,D06,A5,560,0.7789747590960823,3.376473867994119,15.30325229068909,14.088571194873548,3.879308972422276,0.0
dt_outside_0.09_0.11,human_synthetic:D06:A6,D06,A6,131,0.74425751422857,3.7293366321500896,21.011370571228028,23.11979020837535,2.880498520359602,0.0
dt_outside_0.09_0.11,human_synthetic:D06:A7,D06,A7,246,0.8616225285623926,2.500599638166414,10.920221609346195,11.758487063220207,5.078661304246658,0.0
dt_outside_0.09_0.11,human_synthetic:D06:B1,D06,B1,110,1.0276972470427028,0.4954383076746928,2.645602099093153,7.190332731265852,4.692009843265044,0.0
dt_outside_0.09_0.11,human_synthetic:D06:B2,D06,B2,210,1.016476039499843,3.4592492583193617,12.036277123891987,7.157581890285363,5.476903781976464,0.0
dt_outside_0.09_0.11,human_synthetic:D06:B3,D06,B3,182,0.638664465484013,3.733212431240108,17.345502319548768,4.729994851493249,4.233318396386466,0.0
dt_outside_0.09_0.11,human_synthetic:D06:B4,D06,B4,293,0.8890416133097463,2.2519184330588042,7.074673382646559,20.625179588586207,4.156760976670981,0.0
dt_outside_0.09_0.11,human_synthetic:D06:C1,D06,C1,313,0.9811113442806061,3.36004139476728,14.791291043188926,28.066451759687855,4.883595452149752,0.0
dt_outside_0.09_0.11,human_synthetic:D06:C2,D06,C2,253,0.8317551216451221,3.345878168077672,16.975626754507864,21.462869281923904,4.152148439140936,0.0
dt_outside_0.09_0.11,human_synthetic:D06:C3,D06,C3,373,0.5845949808273787,3.2755138761958076,17.147271647663167,20.525091943033903,2.5348707225919007,0.0
dt_outside_0.09_0.11,human_synthetic:D07:A1,D07,A1,245,0.7947017277860922,1.8293046902071368,9.488635068204369,6.396523888381197,2.975072230654508,0.0
dt_outside_0.09_0.11,human_synthetic:D07:A2,D07,A2,137,1.0324298505866865,2.5169405939362717,14.622009308026072,14.50277637409251,5.173750671152355,0.0
dt_outside_0.09_0.11,human_synthetic:D07:A3,D07,A3,419,0.9817147769298632,3.5078839563708786,20.52156400672668,33.3745573638419,4.91945880701136,0.0
